Metric,Baseline,Enhanced,Delta
mean_mae,0.15862619047619048,0.09503395984180937,-0.0635922306343811
std_mae,0.09449034447187026,0.07526246519571954,-0.019227879276150717
min_mae,0.03697142857142856,0.009716048184462962,-0.027255380386965594
p25_mae,0.06985714285714287,0.038114302074802785,-0.03174284078234008
median_mae,0.14231428571428573,0.07274124161593085,-0.06957304409835488
p75_mae,0.2637642857142857,0.12811494668554516,-0.13564933902874052
max_mae,0.29131428571428575,0.2619225386935686,-0.029391747020717174
mae_x,0.01591,0.015118250702070074,-0.0007917492979299268
mae_y,0.03808333333333334,0.029875231193502737,-0.0082081021398306
mae_z,0.014036666666666668,0.008694566385820508,-0.0053421002808461595
mae_roll,0.023613333333333323,0.01992061759275695,-0.0036927157405763737
mae_pitch,0.026843333333333334,0.015970975591714186,-0.010872357741619147
mae_yaw,0.55181,0.32782505266115075,-0.22398494733884927
mae_gripper,0.44008666666666674,0.24783302476565044,-0.1922536419010163
bias_x,0.0018566666666666668,0.003527948907989389,0.001671282241322722
bias_y,-0.002416666666666667,3.807143017649818e-05,0.002454738096843165
bias_z,0.002796666666666667,0.0012380951539923747,-0.0015585715126742923
bias_roll,0.006546666666666669,0.013240081118295588,0.006693414451628918
bias_pitch,-0.008643333333333333,-0.011944890745605032,-0.0033015574122716995
bias_yaw,-0.08924999999999998,0.06512050837372738,0.15437050837372734
bias_gripper,-0.31495333333333325,0.19775325833956403,0.5127065916728972
success_pos_l1_le_0.05,0.23333333333333334,0.5333333333333333,0.3
success_pos_l1_le_0.1,0.8333333333333334,0.8666666666666667,0.033333333333333326
success_pos_l1_le_0.2,1.0,1.0,0.0
success_rot_l1_le_0.05,0.0,0.06666666666666667,0.06666666666666667
success_rot_l1_le_0.1,0.0,0.13333333333333333,0.13333333333333333
success_rot_l1_le_0.2,0.03333333333333333,0.4,0.3666666666666667
success_gripper_abs_le_0.1,0.5666666666666667,0.7,0.1333333333333333
success_gripper_abs_le_0.25,0.5666666666666667,0.7333333333333333,0.16666666666666663
success_gripper_abs_le_0.5,0.5666666666666667,0.7666666666666667,0.20000000000000007
mean_mae_improvement_pct,,40.08936383297069,
